Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementNotPresent(findTestObject(""Products/add_to_chart_produk_1""), 0)",Edge Chromium 116,,,2023-08-31 12:39:44,2023-08-31 12:39:44,0.489s,PASSED
"name_product = getText(findTestObject(""Detail Product/title_product""))",Edge Chromium 116,,,2023-08-31 12:39:44,2023-08-31 12:39:45,0.515s,PASSED
"description_product = getText(findTestObject(""Products/description_product""))",Edge Chromium 116,,,2023-08-31 12:39:45,2023-08-31 12:39:45,0.381s,PASSED
"product_price = getText(findTestObject(""Products/products_price""))",Edge Chromium 116,,,2023-08-31 12:39:45,2023-08-31 12:39:46,0.357s,PASSED
data = new java.util.HashMap(),Edge Chromium 116,,,2023-08-31 12:39:46,2023-08-31 12:39:46,0.001s,PASSED
"data.put(""name_product"", name_product)",Edge Chromium 116,,,2023-08-31 12:39:46,2023-08-31 12:39:46,0.000s,PASSED
"data.put(""description_product"", description_product)",Edge Chromium 116,,,2023-08-31 12:39:46,2023-08-31 12:39:46,0.000s,PASSED
"data.put(""product_price"", product_price)",Edge Chromium 116,,,2023-08-31 12:39:46,2023-08-31 12:39:46,0.000s,PASSED
return data,Edge Chromium 116,,,2023-08-31 12:39:46,2023-08-31 12:39:46,0.000s,PASSED
,,,,,,,
Test Cases/Products/TC-Product-AddCart-002,Edge Chromium 116,User ingin menambahkan 2 product ke dalam keranjang,,2023-08-31 12:39:46,2023-08-31 12:40:00,14.756s,PASSED
"data = callTestCase(findTestCase(""Products/TC-Product-AddCart-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:39:46,2023-08-31 12:39:59,12.700s,PASSED
"click(findTestObject(""Products/add_to_chart_product_2""))",Edge Chromium 116,,,2023-08-31 12:39:59,2023-08-31 12:39:59,0.352s,PASSED
"name_product_2 = getText(findTestObject(""Products/name_product_2""))",Edge Chromium 116,,,2023-08-31 12:39:59,2023-08-31 12:40:00,0.564s,PASSED
"description_product_2 = getText(findTestObject(""Products/description_product_2""))",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.422s,PASSED
"price_product_2 = getText(findTestObject(""Products/price_product_2""))",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.396s,PASSED
